Covidence #,Study ID,Title,Reviewer Name,Study ID (dup),Title (dup),Journal Subject Area (Scimago classification),What is the type of study?,What are the objectives of the study?,Which RL technique is used?,Which finance application is tested?,What are the stated key results of the study?,What are the stated limitations of the study?,What asset classes are in the dataset?,What are the number of assets in the dataset?,What is the nature of the asset price dataset?,What is the granularity of the price dataset?,What is the format of the price dataset?,What other datasets are used in the study?,What is the time frame of time series data used?:,Date Start,Date End,Is all used and produced data made publicly available and referred to in the article?,Which continents are represented in the price dataset?,Is dataset quality discussed in article?,Is out-of-sample testing applied?,Was the model tested on diverse test sets?,Was the model tested across different datasets or applications?,Is the non-stationarity problem of financial markets explicitly addressed?,Are all performance results published to avoid post-selection?,Is the process of hyperparameter tuning explicitly described?,Which evaluation metrics are used?,Are results validated using statistical tests or confidence intervals?,Is the code or workflow made publicly available and referred to?,What is the implementation status?,Does the study conduct a benchmark?,What is the model benchmarked against?,Is a standard dataset used for all models?,Does study mention Transfer Learning or similar method as potential avenue for research?,Does study mention alternative generalization methods?,Does the study propose a framework to structure RL research in finance?
45,Jang 2023,Deep reinforcement learning for stock portfolio optimization by connecting with modern portfolio theory,Consensus,Jang2023,Deep reinforcement learning for stock portfolio optimization by connecting with modern portfolio theory ,"Computer Science, Engineering",Primary,Combine reinforcement learning (RL) with Modern Portfolio Theory (MPT) for optimal stock portfolio management.,Policy-based Method; Actor-Critic Method,Portfolio Management,"Proposed PM method based on RL that incorporates modern portfolio theory.
Used Tucker decomposition to encode temporal and spatial relationships.
Backtested assets included in Dow Jones Indices.","Used only DDPG for comparison.
Did not adjust reward function.",Equity (Stocks),29,Real-world Data,Daily,Time Series,Market Data,,01.01.2009,31.12.2019,No,North America,Yes,Yes,None,No,No,Yes,No,Sharpe ratio; Max drawdown; Other: Final accumulative portfolio value,No,No,Simulation-based,Yes,Random or Naive Strategies; State of the Art Algorithms,Yes,No,No,No
44,Lei 2020,Time-driven feature-aware jointly deep reinforcement learning for financial signal representation and algorithmic trading,Mathis Jander,Lei2020,Time-driven feature-aware jointly deep reinforcement learning for financial signal representation and algorithmic trading,"Computer Science, Engineering",Primary,To improve both the financial signal representation and trading decision-making by proposing a joint deep reinforcement learning model.,Policy-based Method,Algorithmic Trading,"Proposed TFJ-DRL model that combines deep learning and reinforcement learning to improve financial signal representation learning and action decision making in trading.
Implemented state representation that selects and reweighs features dynamically.
Showed that TFJ-DRL consistently outperforms state of the art methods.",Proposed model can only trade one asset at a time.,Equity (Stocks),58,Real-world Data,Daily,Time Series,Market Data,,01.01.2000,31.12.2019,No,North America,No,No,Different time series; Different timeframes,Yes,Yes,Yes,No,"Sharpe ratio; PnL; Other: Annualized return, Transaction times, Profit curve",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,Yes,No
44,Lei 2020,Time-driven feature-aware jointly deep reinforcement learning for financial signal representation and algorithmic trading,Consensus,Lei2020,Time-driven feature-aware jointly deep reinforcement learning for financial signal representation and algorithmic trading,"Computer Science, Engineering",Primary,To improve both the financial signal representation and trading decision-making by proposing a joint deep reinforcement learning model.,Policy-based Method,Algorithmic Trading,"Proposed TFJ-DRL model that combines deep learning and reinforcement learning to improve financial signal representation learning and action decision making in trading.
Implemented state representation that selects and reweighs features dynamically.
Showed that TFJ-DRL consistently outperforms state of the art methods.",Proposed model can only trade one asset at a time.,Equity (Stocks),58,Real-world Data,Daily,Time Series,Market Data,,01.01.2000,31.12.2019,No,North America,No,No,Different time series; Different timeframes,Yes,Yes,Yes,No,"Sharpe ratio; PnL; Other: Annualized return, Transaction times, Profit curve",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,Yes,No
43,Betancourt 2021,Deep reinforcement learning for portfolio management of markets with a dynamic number of assets,Mathis Jander,Betancourt 2021,Deep reinforcement learning for portfolio management of markets with a dynamic number of assets,"Computer Science, Engineering",Primary,Develop RL agent for portfolio management with dynamic number of assets,Value-based Method; Policy-based Method,Portfolio Management,trading system without limitation of fixed number of assets; transaction costs are included in decisions; proposed method is implemented with cryptocurrency dataset; proposed method outperforms state of the art methods,assumption that trades don't affect price of assets,Crypto,85,Real-world Data,"Daily; Other: 30 min, 6 hours",Time Series,Market Data,,17.08.2017,01.11.2019,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different timeframes,No,No,No,No,Sharpe ratio; Other: Total return,Yes,No,Simulation-based,Yes,State of the Art Algorithms,Yes,No,No,No
43,Betancourt 2021,Deep reinforcement learning for portfolio management of markets with a dynamic number of assets,Consensus,Betancourt 2021a,Deep reinforcement learning for portfolio management of markets with a dynamic number of assets,"Computer Science, Engineering",Primary,Develop RL agent for portfolio management with dynamic number of assets,Value-based Method; Policy-based Method,Portfolio Management,trading system without limitation of fixed number of assets; transaction costs are included in decisions; proposed method is implemented with cryptocurrency dataset; proposed method outperforms state of the art methods,assumption that trades don't affect price of assets,Crypto,85,Real-world Data,"Daily; Other: 30 min, 6 hours",Time Series,Market Data,,17.08.2017,01.11.2019,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different timeframes,No,No,No,No,Sharpe ratio; Other: Total return,Yes,No,Simulation-based,Yes,State of the Art Algorithms,Yes,No,No,No
42,Ma 2021,A parallel multi-module deep reinforcement learning algorithm for stock trading,Mathis Jander,Ma2021,A parallel multi-module deep reinforcement learning algorithm for stock trading,"Computer Science, Neuroscience",Primary,Develop Parallel Multi-Module Deep Reinforcement Learning (PMMRL) algorithm for stock trading.,Value-based Method,Algorithmic Trading,"Proposed PMMRL algorithm for stock trading.
Showed that PMMRL outperformed several state of the art algorithms.","Algorithm can only be used for trading stocks.
Only tested single-stock trading.
No risk management considered.",Equity (Stocks),8,Real-world Data,Daily,Time Series,Market Data; Fundamental Data,,01.01.2005,31.12.2019,No,Asia,No,Yes,Different time series,Yes,Yes,Yes,Yes,"Sharpe ratio; Max drawdown; Other: Cumulative return ratio, Sortino ratio, Calmar ratio, Longest drawdown days",No,No,Simulation-based,Yes,Market Indexes; Random or Naive Strategies; State of the Art Algorithms,Yes,No,No,No
42,Ma 2021,A parallel multi-module deep reinforcement learning algorithm for stock trading,Consensus,Ma2021,A parallel multi-module deep reinforcement learning algorithm for stock trading,"Computer Science, Neuroscience",Primary,Develop Parallel Multi-Module Deep Reinforcement Learning (PMMRL) algorithm for stock trading.,Value-based Method,Algorithmic Trading,"Proposed PMMRL algorithm for stock trading.
Showed that PMMRL outperformed several state of the art algorithms.","Algorithm can only be used for trading stocks.
Only tested single-stock trading.
No risk management considered.",Equity (Stocks),8,Real-world Data,Daily,Time Series,Market Data; Fundamental Data,,01.01.2005,31.12.2019,No,Asia,No,Yes,Different time series,Yes,Yes,Yes,Yes,"Sharpe ratio; Max drawdown; Other: Cumulative return ratio, Sortino ratio, Calmar ratio, Longest drawdown days",No,No,Simulation-based,Yes,Market Indexes; Random or Naive Strategies; State of the Art Algorithms,Yes,No,No,No
41,Hirchoua 2021,Deep reinforcement learning based trading agents: Risk curiosity driven learning for financial rules-based policy,Mathis Jander,Hirchoua2021,Deep reinforcement learning based trading agents: Risk curiosity driven learning for financial rules-based policy ,"Computer Science, Engineering",Primary,Develop a deep reinforcement learning (DRL) model that integrates risk curiosity-driven learning for financial trading.,Policy-based Method,Algorithmic Trading,Introduction of novel rule-based policy for simultaneous real-time decision making and risk curiosity-driven learning.,none,Equity (Stocks); Crypto,8,Real-world Data,Daily,Time Series,None,,01.01.1960,31.12.2019,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different time series; Different timeframes,Yes,Yes,Yes,No,PnL,No,No,Simulation-based,,State of the Art Algorithms,Yes,Yes,Yes,No
41,Hirchoua 2021,Deep reinforcement learning based trading agents: Risk curiosity driven learning for financial rules-based policy,Consensus,Hirchoua2021,Deep reinforcement learning based trading agents: Risk curiosity driven learning for financial rules-based policy ,"Computer Science, Engineering",Primary,Develop a deep reinforcement learning (DRL) model that integrates risk curiosity-driven learning for financial trading.,Policy-based Method,Algorithmic Trading,Introduction of novel rule-based policy for simultaneous real-time decision making and risk curiosity-driven learning.,none,Equity (Stocks); Crypto,8,Real-world Data,Daily,Time Series,None,,01.01.1960,31.12.2019,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different time series; Different timeframes,Yes,Yes,Yes,No,PnL,No,No,Simulation-based,,State of the Art Algorithms,Yes,Yes,Yes,No
38,Junfeng 2024,Portfolio management based on a reinforcement learning framework,Mathis Jander,Junfeng2023,Portfolio management based on a reinforcement learning framework,"Business, Management and Accounting; Computer Science; Decision Sciences; Economics, Econometrics and Finance; Mathematics",Primary,Develop a reinforcement learning-based portfolio management framework using Proximal Policy Optimization (PPO).,Actor-Critic Method,Portfolio Management,"Proposed RL framework that solves the constraint problem in portfolio management.
Used three different methods for feature extraction.
Conducted experiments on six kinds of assets.",none,Equity (Stocks); Commodity; Other: Bond ETF,6,Real-world Data,Daily,Time Series,None,,05.01.2005,30.12.2019,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,None,No,No,Yes,Yes,"Sharpe ratio; Max drawdown; Other: Cumulative return, Annual return, Sortino ratio",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines,Yes,No,No,No
38,Junfeng 2024,Portfolio management based on a reinforcement learning framework,Consensus,Junfeng2023,Portfolio management based on a reinforcement learning framework,"Business, Management and Accounting; Computer Science; Decision Sciences; Economics, Econometrics and Finance; Mathematics",Primary,Develop a reinforcement learning-based portfolio management framework using Proximal Policy Optimization (PPO).,Actor-Critic Method,Portfolio Management,"Proposed RL framework that solves the constraint problem in portfolio management.
Used three different methods for feature extraction.
Conducted experiments on six kinds of assets.",none,Equity (Stocks); Commodity; Other: Bond ETF,6,Real-world Data,Daily,Time Series,None,,05.01.2005,30.12.2019,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,None,No,No,Yes,Yes,"Sharpe ratio; Max drawdown; Other: Cumulative return, Annual return, Sortino ratio",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines,Yes,No,No,No
37,Cheng 2024,Multiagent-based deep reinforcement learning framework for multi-asset adaptive trading and portfolio management,Mathis Jander,Cheng 2024,Multiagent-based deep reinforcement learning framework for multi-asset adaptive trading and portfolio management ,"Computer Science, Neuroscience",Primary,"To develop an automated multi‑agent trading framework that integrates a Trading Action Module (TAM) and a Trading Portfolio Module (TPM).
To combine different data representations (price, candlestick, and technical features) via separate agents for improved decision making.
To enhance portfolio performance through adaptive asset weighting and long–short trading actions under a unified DRL approach based on the TD3 algorithm.",Actor-Critic Method,Portfolio Management,"The proposed multi‑agent DRL framework (integrating TAM and TPM) outperforms single‑agent approaches, achieving more stable and higher accumulated returns.
Backtesting on three stocks (Yuanta Group (2885), TSMC (2330), and Evergreen (2603)) shows competitive win rates, improved Sharpe ratios, and controlled max drawdowns.",Data used in the experiments is confidential,Equity (Stocks),3,Real-world Data,Daily,Time Series,None,,10.12.2018,20.04.2022,No,Asia,No,Yes,Different time series,No,No,Yes,Yes,Sharpe ratio; PnL; Max drawdown; Other: Win rate,No,No,Simulation-based,Yes,State of the Art Algorithms,Yes,No,Yes,No
37,Cheng 2024,Multiagent-based deep reinforcement learning framework for multi-asset adaptive trading and portfolio management,Consensus,Cheng 2024,Multiagent-based deep reinforcement learning framework for multi-asset adaptive trading and portfolio management ,"Computer Science, Neuroscience",Primary,"To develop an automated multi‑agent trading framework that integrates a Trading Action Module (TAM) and a Trading Portfolio Module (TPM).
To combine different data representations (price, candlestick, and technical features) via separate agents for improved decision making.
To enhance portfolio performance through adaptive asset weighting and long–short trading actions under a unified DRL approach based on the TD3 algorithm.",Actor-Critic Method,Portfolio Management,"The proposed multi‑agent DRL framework (integrating TAM and TPM) outperforms single‑agent approaches, achieving more stable and higher accumulated returns.
Backtesting on three stocks (Yuanta Group (2885), TSMC (2330), and Evergreen (2603)) shows competitive win rates, improved Sharpe ratios, and controlled max drawdowns.",Data used in the experiments is confidential,Equity (Stocks),3,Real-world Data,Daily,Time Series,None,,10.12.2018,20.04.2022,No,Asia,No,Yes,Different time series,No,No,Yes,Yes,Sharpe ratio; PnL; Max drawdown; Other: Win rate,No,No,Simulation-based,Yes,State of the Art Algorithms,Yes,No,Yes,No
36,Park 2024,Uncertainty-Aware Portfolio Management With Risk-Sensitive Multiagent Network,Mathis Jander,Park2024c,Uncertainty-Aware Portfolio Management With Risk-Sensitive Multiagent Network,Computer Science,Primary,Propose a new RL framework (RSMAN) for portfolio management.,Value-based Method,Portfolio Management,"Proposed novel reward definition for investment domain.
First attempt to explicitly assess both types of uncertainty in DNNs for the PM task.
Proposed novel portfolio generator that mimics rational investors.
Showed validity of framework with experiments in stock markets.",none,Equity (Stocks),157,Real-world Data,Daily,Time Series,None,,01.01.2000,31.05.2020,No,Asia; North America,No,Yes,Different time series,No,No,Yes,No,"Sharpe ratio; Max drawdown; Other: Annualized profit rate, Calmar ratio",No,No,Simulation-based,,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
36,Park 2024,Uncertainty-Aware Portfolio Management With Risk-Sensitive Multiagent Network,Consensus,Park2024c,Uncertainty-Aware Portfolio Management With Risk-Sensitive Multiagent Network,Computer Science,Primary,Propose a new RL framework (RSMAN) for portfolio management.,Value-based Method,Portfolio Management,"Proposed novel reward definition for investment domain.
First attempt to explicitly assess both types of uncertainty in DNNs for the PM task.
Proposed novel portfolio generator that mimics rational investors.
Showed validity of framework with experiments in stock markets.",none,Equity (Stocks),157,Real-world Data,Daily,Time Series,None,,01.01.2000,31.05.2020,No,Asia; North America,No,Yes,Different time series,No,No,Yes,No,"Sharpe ratio; Max drawdown; Other: Annualized profit rate, Calmar ratio",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
35,Brini 2023,Deep reinforcement trading with predictable returns,Mathis Jander,Brini 2023,Deep reinforcement trading with predictable returns,"Mathematics, Physics and Astronomy",Primary,Investigate the performance of model-free DRL traders in different market environments,Value-based Method; Policy-based Method,Algorithmic Trading,Novel model; Show that DRL agents can match optimal benchmark and surpass misspecified benchmark,none,Other: n/a,n/a,Synthetic Data,Other: n/a,Time Series,None,,-,-,No,,No,Yes,Different time series,No,Yes,Yes,Yes,Sharpe ratio; PnL,Yes,Yes,Simulation-based,Yes,Algorithmic Baselines,Yes,No,Yes,No
35,Brini 2023,Deep reinforcement trading with predictable returns,Consensus,Brini 2023,Deep reinforcement trading with predictable returns,"Mathematics, Physics and Astronomy",Primary,Investigate the performance of model-free DRL traders in different market environments,Value-based Method; Policy-based Method,Algorithmic Trading,Novel model; Show that DRL agents can match optimal benchmark and surpass misspecified benchmark,none,Other: n/a,n/a,Synthetic Data,Other: n/a,Time Series,None,,-,-,No,,No,Yes,Different time series,No,Yes,Yes,Yes,Sharpe ratio; PnL,Yes,Yes,Simulation-based,Yes,Algorithmic Baselines,Yes,No,Yes,No
34,Calabuig 2020,Dreaming machine learning: Lipschitz extensions for reinforcement learning on financial markets,Mathis Jander,Calabuig 2020,Dreaming machine learning: Lipschitz extensions for reinforcement learning on financial markets,"Computer Science, Neuroscience",Primary,Improve investment strategies by simulating new states through interpolation,Other: Lipschitz extension-based reinforcement learning method,Algorithmic Trading,Show RL method to provide expert system for investing in financial market,none,Equity (Stocks); Crypto,5,Real-world Data,Daily,Time Series,None,,-,-,No,,,Yes,None,No,No,No,No,Other: Custom reward function,No,No,Simulation-based,Yes,Algorithmic Baselines,Yes,,No,No
34,Calabuig 2020,Dreaming machine learning: Lipschitz extensions for reinforcement learning on financial markets,Consensus,Calabuig 2020,Dreaming machine learning: Lipschitz extensions for reinforcement learning on financial markets,"Computer Science, Neuroscience",Primary,Improve investment strategies by simulating new states through interpolation,Other: Lipschitz extension-based reinforcement learning method,Algorithmic Trading,Show RL method to provide expert system for investing in financial market,none,Equity (Stocks); Crypto,5,Real-world Data,Daily,Time Series,None,,-,-,No,,No,Yes,None,No,No,No,No,Other: Custom reward function,No,No,Simulation-based,Yes,Algorithmic Baselines,Yes,No,No,No
33,Ansari 2024,A Multifaceted Approach to Stock Market Trading Using Reinforcement Learning,Mathis Jander,Ansari 2024,"A Multifaceted Approach to Stock Market Trading
Using Reinforcement Learning","Computer Science, Engineering, Materials Science",Primary,"Develop multi-stock market trading RL agent using price, technical and fundamental data.",Policy-based Method; Actor-Critic Method,Algorithmic Trading,Proposed model outperforms DJIA during backtesting; novel state representation; novel reward function ,none,Equity (Stocks),53,Real-world Data,Daily,Time Series,Market Data; Fundamental Data,,01.01.2010,01.03.2023,No,North America,No,Yes,Different time series,Yes,No,No,No,"Sharpe ratio; PnL; Max drawdown; Other: Annual return, Annual volatility, Calmar ratio, Omega ratio, Tail ratio, Sortino ratio ",Yes,No,Simulation-based,Yes,Market Indexes; Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
33,Ansari 2024,A Multifaceted Approach to Stock Market Trading Using Reinforcement Learning,Consensus,Ansari 2024,"A Multifaceted Approach to Stock Market Trading
Using Reinforcement Learning","Computer Science, Engineering, Materials Science",Primary,"Develop multi-stock market trading RL agent using price, technical and fundamental data.",Policy-based Method; Actor-Critic Method,Algorithmic Trading,Proposed model outperforms DJIA during backtesting; novel state representation; novel reward function ,none,Equity (Stocks),53,Real-world Data,Daily,Time Series,Market Data; Fundamental Data,,01.01.2010,01.03.2023,No,North America,No,Yes,Different time series,Yes,No,No,No,"Sharpe ratio; PnL; Max drawdown; Other: Annual return, Annual volatility, Calmar ratio, Omega ratio, Tail ratio, Sortino ratio ",Yes,No,Simulation-based,Yes,Market Indexes; Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
31,Soleymani 2021,Deep graph convolutional reinforcement learning for financial portfolio management – DeepPocket,Mathis Jander,Soleymani2021,Deep graph convolutional reinforcement learning for financial portfolio management – DeepPocket ,"Computer Science, Engineering",Primary,"Propose DeepPocket, a portfolio management framework.",Actor-Critic Method,Portfolio Management,Introduced graph convolutional RL framework.,Assumed liquid market.,Equity (Stocks),27,Real-world Data,Daily,Time Series,None,,02.01.2002,24.03.2020,No,North America,No,Yes,Different timeframes,No,No,Yes,No,"Sharpe ratio; Max drawdown; Other: CVaR, RoI",No,No,Simulation-based,Yes,Market Indexes,Yes,No,Yes,No
31,Soleymani 2021,Deep graph convolutional reinforcement learning for financial portfolio management – DeepPocket,Consensus,Soleymani2021,Deep graph convolutional reinforcement learning for financial portfolio management – DeepPocket ,"Computer Science, Engineering",Primary,"Propose DeepPocket, a portfolio management framework.",Actor-Critic Method,Portfolio Management,Introduced graph convolutional RL framework.,Assumed liquid market.,Equity (Stocks),27,Real-world Data,Daily,Time Series,None,,02.01.2002,24.03.2020,No,North America,No,Yes,Different timeframes,No,No,Yes,No,"Sharpe ratio; Max drawdown; Other: CVaR, RoI",No,No,Simulation-based,Yes,Market Indexes,Yes,No,Yes,No
30,Yang 2023,Deep reinforcement learning based on transformer and U-Net framework for stock trading,Mathis Jander,Yang2023,"Deep reinforcement learning based on transformer and U-Net
framework for stock trading","Business, Management and Accounting; Computer Science; Decision Sciences",Primary,"To develop a DRL model combining transformer layers and U-Net architecture (DRL-UTrans) that outputs both trading decisions and action weights, aiming to maximize return and reduce investment risk.",Value-based Method,Algorithmic Trading,"Defined action space, state space and reward space for stock market.
Combined RL and U-net transformer into stock trading model.
Demonstrated that proposed model outperforms baseline models on benchmark.",none,Equity (Stocks); Crypto,39,Real-world Data,Daily,Time Series,None,,01.01.2010,10.12.2021,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different time series; Different timeframes,Yes,No,Yes,No,PnL; Other: Rate of return,No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
30,Yang 2023,Deep reinforcement learning based on transformer and U-Net framework for stock trading,Consensus,Yang2023,"Deep reinforcement learning based on transformer and U-Net
framework for stock trading","Business, Management and Accounting; Computer Science; Decision Sciences",Primary,"To develop a DRL model combining transformer layers and U-Net architecture (DRL-UTrans) that outputs both trading decisions and action weights, aiming to maximize return and reduce investment risk.",Value-based Method,Algorithmic Trading,"Defined action space, state space and reward space for stock market.
Combined RL and U-net transformer into stock trading model.
Demonstrated that proposed model outperforms baseline models on benchmark.",none,Equity (Stocks); Crypto,39,Real-world Data,Daily,Time Series,None,,01.01.2010,10.12.2021,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different time series; Different timeframes,Yes,No,Yes,No,PnL; Other: Rate of return,No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
29,Cui 2023,Portfolio constructions in cryptocurrency market: A CVaR-based deep reinforcement learning approach,Mathis Jander,Cui2023,Portfolio constructions in cryptocurrency market: A CVaR-based deep reinforcement learning approach,"Economics, Econometrics and Finance",Primary,The study aims to develop a Conditional Value at Risk (CVaR)-based deep reinforcement learning (DRL) framework for portfolio optimization in the cryptocurrency market.,Policy-based Method,Portfolio Management,"Proposing a new CVaR-based portfolio optimization model for cryptocurrency markets.
Argue for CVaR as solid risk measure in cryptocurrency markets.
Model-free approach avoids unrealistic assumptions.",none,Crypto,6,Real-world Data,Daily,Time Series,None,,06.08.2015,06.08.2015,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,None,No,No,Yes,No,Other: Return,Yes,No,Simulation-based,Yes,Algorithmic Baselines,Yes,No,No,No
29,Cui 2023,Portfolio constructions in cryptocurrency market: A CVaR-based deep reinforcement learning approach,Consensus,Cui2023,Portfolio constructions in cryptocurrency market: A CVaR-based deep reinforcement learning approach,"Economics, Econometrics and Finance",Primary,The study aims to develop a Conditional Value at Risk (CVaR)-based deep reinforcement learning (DRL) framework for portfolio optimization in the cryptocurrency market.,Policy-based Method,Portfolio Management,"Proposing a new CVaR-based portfolio optimization model for cryptocurrency markets.
Argue for CVaR as solid risk measure in cryptocurrency markets.
Model-free approach avoids unrealistic assumptions.",none,Crypto,6,Real-world Data,Daily,Time Series,None,,06.08.2015,06.08.2015,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,None,No,No,Yes,No,Other: Return,Yes,No,Simulation-based,Yes,Algorithmic Baselines,Yes,No,No,No
27,Soleymani 2020,Financial portfolio optimization with online deep reinforcement learning and restricted stacked autoencoder—DeepBreath,Mathis Jander,Soleymani2020,Financial portfolio optimization with online deep reinforcement learning and restricted stacked autoencoder - DeepBreath,"Computer Science, Engineering",Primary,"Propose DeepBreath, a portfolio optimization framework.",Value-based Method,Portfolio Management,"Proposed online framework for PM based on DRL and restricted stacked auto-encoder for feature selection.
Demonstrated efficacy of proposed system through experimental results.",none,Equity (Stocks),23,Real-world Data,Daily,Time Series,None,,02.01.2002,31.07.2018,No,North America,No,Yes,Different timeframes,No,Yes,Yes,No,Sharpe ratio; Max drawdown; Other: RoI,No,No,Simulation-based,Yes,Market Indexes,Yes,No,Yes,No
27,Soleymani 2020,Financial portfolio optimization with online deep reinforcement learning and restricted stacked autoencoder—DeepBreath,Consensus,Soleymani2020,Financial portfolio optimization with online deep reinforcement learning and restricted stacked autoencoder - DeepBreath,"Computer Science, Engineering",Primary,"Propose DeepBreath, a portfolio optimization framework.",Value-based Method,Portfolio Management,"Proposed online framework for PM based on DRL and restricted stacked auto-encoder for feature selection.
Demonstrated efficacy of proposed system through experimental results.",none,Equity (Stocks),23,Real-world Data,Daily,Time Series,None,,02.01.2002,31.07.2018,No,North America,No,Yes,Different timeframes,No,Yes,Yes,No,Sharpe ratio; Max drawdown; Other: RoI,No,No,Simulation-based,Yes,Market Indexes,Yes,No,Yes,No
26,Marzban 2023,WaveCorr: Deep reinforcement learning with permutation invariant convolutional policy networks for portfolio management,Mathis Jander,Marzban2023b,WaveCorr: Deep reinforcement learning with permutation invariant convolutional policy networks for portfolio management,"Computer Science, Decision Sciences, Engineering, Mathematics",Primary,Develop a deep reinforcement learning architecture for portfolio optimization.,Policy-based Method,Portfolio Management,"Introduce a new permutation invariance property for policy network architectures.
Derive general theory for verifying its applicability in any relevant DRL domain.
Designed first CNN based portfolio policy network that accounts for asset dependencies.
Presented evidence that proposed model outperforms two other state of the art models.",none,Equity (Stocks),120,Real-world Data,Daily,Time Series,None,,01.01.2003,01.01.2021,Yes,North America,Yes,Yes,Different time series; Different timeframes,No,No,Yes,Yes,"Sharpe ratio; Max drawdown; Other: Annual return, Annual volatility, Daily hit rate, Turnover",Yes,Yes,Simulation-based,Yes,Random or Naive Strategies; State of the Art Algorithms,Yes,No,Yes,No
26,Marzban 2023,WaveCorr: Deep reinforcement learning with permutation invariant convolutional policy networks for portfolio management,Consensus,Marzban2023b,WaveCorr: Deep reinforcement learning with permutation invariant convolutional policy networks for portfolio management,"Computer Science, Decision Sciences, Engineering, Mathematics",Primary,Develop a deep reinforcement learning architecture for portfolio optimization.,Policy-based Method,Portfolio Management,"Introduce a new permutation invariance property for policy network architectures.
Derive general theory for verifying its applicability in any relevant DRL domain.
Designed first CNN based portfolio policy network that accounts for asset dependencies.
Presented evidence that proposed model outperforms two other state of the art models.",none,Equity (Stocks),120,Real-world Data,Daily,Time Series,None,,01.01.2003,01.01.2021,Yes,North America,Yes,Yes,Different time series; Different timeframes,No,No,Yes,Yes,"Sharpe ratio; Max drawdown; Other: Annual return, Annual volatility, Daily hit rate, Turnover",Yes,Yes,Simulation-based,Yes,Random or Naive Strategies; State of the Art Algorithms,Yes,No,Yes,No
25,Xu 2023,Improved pairs trading strategy using two-level reinforcement learning framework,Mathis Jander,Xu2023,"Improved pairs trading strategy using two-level reinforcement 
learning framework","Computer Science, Engineering",Primary,To improve pairs trading strategies using a two-level RL framework. ,Actor-Critic Method; Model-based Method,Algorithmic Trading,"Proposed two-level RL framework addressing pair selection and trading threshold setting.
Proposed Extended Option-Critic method to enable pair selection on non-fixed length of time intervals.
Applied MADDPG method with three agents.",none,Derivative,3,Real-world Data,Other: 5 Minutes,Order Book,None,,01.01.2020,31.01.2023,No,Asia,No,Yes,Different timeframes,No,No,Yes,No,"Sharpe ratio; Max drawdown; Other: Number of trades, Number of successes, Win rate, Profit/loss ratio, Cumulative return",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines,Yes,No,No,No
25,Xu 2023,Improved pairs trading strategy using two-level reinforcement learning framework,Consensus,Xu2023,"Improved pairs trading strategy using two-level reinforcement 
learning framework","Computer Science, Engineering",Primary,To improve pairs trading strategies using a two-level RL framework. ,Actor-Critic Method; Model-based Method,Algorithmic Trading,"Proposed two-level RL framework addressing pair selection and trading threshold setting.
Proposed Extended Option-Critic method to enable pair selection on non-fixed length of time intervals.
Applied MADDPG method with three agents.",none,Derivative,3,Real-world Data,Other: 5 Minutes,Order Book,None,,01.01.2020,31.01.2023,No,Asia,No,Yes,Different timeframes,No,No,Yes,No,"Sharpe ratio; Max drawdown; Other: Number of trades, Number of successes, Win rate, Profit/loss ratio, Cumulative return",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines,Yes,No,No,No
